,0,1
53,"Purchasing agents, except wholesale, retail, and farm products",insurance agents
54,"Transportation, storage, and distribution managers",managers
55,Personal financial advisors,financial officers
56,Air traffic controllers and airfield operations specialists,trade and technical teachers
57,Automotive service technicians and mechanics,technicians
58,Cashiers,math teachers
59,First-line supervisors of construction trades and extraction workers,government workers
60,Industrial truck and tractor operators,waiters and waitresses
61,Computer programmers,computer programmers
62,Heavy vehicle and mobile equipment service technicians and mechanics,technicians
63,Locksmiths and safe repairers,painters
64,"Other installation, maintenance, and repair workers",government workers
65,"Miscellaneous life, physical, and social science technicians, including social science research assistants",trade and technical teachers
66,Producers and directors,actors
67,Compensation and benefits managers,managers
68,"Television, video, and motion picture camera operators and editors",trade and technical teachers
69,Helpers--production workers,government workers
70,Shoe and leather workers,social workers
71,"Hotel, motel, and resort desk clerks",waiters and waitresses
72,Insurance claims and policy processing clerks,insurance agents
73,First-line enlisted military supervisors,Military
74,Postal service mail carriers,service workers
75,Library technicians,technicians
76,Accountants and auditors,accountants
77,Occupational therapists,physical therapists
78,"Miscellaneous construction workers, including solar photovoltaic installers, septic tank servicers and sewer pipe cleaners",construction workers
79,Waiters and waitresses,waiters and waitresses
80,Cooks,CEOs
81,Veterinary assistants and laboratory animal caretakers,trade and technical teachers
82,Chemists and materials scientists,scientists
83,Printing press operators,actors
84,Control and valve installers and repairers,trade and technical teachers
85,"Shipping, receiving, and traffic clerks",waiters and waitresses
86,"Health diagnosing and treating practitioners, all other",trade and technical teachers
87,Grounds maintenance workers,government workers
88,Stationary engineers and boiler operators,engineers
89,Speech-language pathologists,speech pathologists
90,Boilermakers,managers
91,Natural sciences managers,managers
92,"Textile knitting and weaving machine setters, operators, and tenders",trade and technical teachers
93,"Credit authorizers, checkers, and clerks",waiters and waitresses
94,Industrial production managers,managers
95,First-line supervisors of non-retail sales workers,sales representatives
96,Psychologists,psychologists
97,"Food servers, nonrestaurant",drivers
98,"Textile bleaching and dyeing, and cutting machine setters, operators, and tenders",trade and technical teachers
99,"Medical scientists, and life scientists, all other",scientists
100,Dancers and choreographers,photographers
101,Crane and tower operators,actors
102,Fishing and hunting workers,government workers
103,"Miscellaneous office and administrative support workers, including desktop publishers",government workers
104,Automotive and watercraft service attendants,trade and technical teachers
105,Avionics technicians,technicians
106,"Business operations specialists, all other",business administrators
107,"Woodworking machine setters, operators, and tenders, except sawing",trade and technical teachers
108,"Directors, religious activities and education",trade and technical teachers
109,"Welding, soldering, and brazing workers",government workers
110,Electrical power-line installers and repairers,trade and technical teachers
